date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,cases
1/12/2021,Illinois,347005,903100,284035,0.5,2.74,62757,2.24,7.13,81424.5,83032.5,6552.5,0.384,226920
1/13/2021,Illinois,365859,920225,291445,0.59,2.89,74186,2.3,7.26,18854,18854,1488,0.398,230362
1/14/2021,Illinois,403666,958125,316876,12.745,3.19,1615361.5,2.5,7.56,37807,28330,2236,0.421,235707
1/15/2021,Illinois,437765,1011225,341518,0.72,3.45,91248,2.7,7.98,34099,30253,2387,0.433,242731
1/16/2021,Illinois,4469795,5664615,2909272,12.745,35.27,1615361.5,22.96,44.7,21874,28158,2222,0.782,201680
1/17/2021,Illinois,4469795,5664615,2909272,12.745,35.27,1615361.5,22.96,44.7,21874,26902,2123,0.782,177782
1/18/2021,Illinois,4469795,5664615,2909272,12.745,35.27,1615361.5,22.96,44.7,21874,26064,2057,0.782,143416
1/19/2021,Illinois,525261,1011225,414362,0.82,4.15,104533,3.27,7.98,21874,25465,2010,0.519,176706
1/20/2021,Illinois,539926,1094000,425824,0.85,4.26,107651,3.36,8.63,14665,24867,1962,0.494,183236
1/21/2021,Illinois,570527,1173325,452010,0.88,4.5,111933,3.57,9.26,30601,23837,1881,0.486,193818
1/22/2021,Illinois,607502,1209300,479848,0.95,4.79,120754,3.79,9.54,36975,24248,1914,0.502,190753
1/23/2021,Illinois,654752,1417250,518779,1.02,5.17,128907,4.09,11.18,47250,27873,2200,0.462,170613
1/24/2021,Illinois,699072,1417250,556517,1.07,5.52,135330,4.39,11.18,44320,31080,2453,0.493,131062
1/25/2021,Illinois,723203,1417250,578406,1.08,5.71,137465,4.56,11.18,24131,31402,2478,0.51,151969
1/26/2021,Illinois,737989,1548950,590212,1.11,5.82,140394,4.66,12.22,14786,30390,2398,0.476,147540
1/27/2021,Illinois,766659,1591000,611024,1.17,6.05,147925,4.82,12.56,28670,32390,2556,0.482,153945
1/28/2021,Illinois,823325,1631775,643555,1.28,6.5,162086,5.08,12.88,56666,36114,2850,0.505,168610
1/29/2021,Illinois,884502,1658725,685529,1.43,6.98,181063,5.41,13.09,61177,39571,3123,0.533,166568
1/30/2021,Illinois,948804,1696575,733006,1.56,7.49,197643,5.78,13.39,64302,42007,3315,0.559,142312
1/31/2021,Illinois,1011454,1696575,781536,1.67,7.98,211528,6.17,13.39,62650,44626,3522,0.596,111997
2/1/2021,Illinois,1054814,1696575,817253,1.73,8.32,219095,6.45,13.39,43360,47373,3738,0.622,135202
2/2/2021,Illinois,1073076,1859850,831556,1.76,8.47,223026,6.56,14.68,18262,47870,3778,0.577,115333
2/3/2021,Illinois,1108571,1986725,859076,1.82,8.75,230850,6.78,15.68,35495,48845,3855,0.558,121641
2/4/2021,Illinois,1178369,2053325,905981,1.96,9.3,247763,7.15,16.2,69798,50721,4003,0.574,123975
2/5/2021,Illinois,1247521,2089050,962345,2.05,9.84,260248,7.59,16.49,69152,51860,4093,0.597,134397
2/6/2021,Illinois,1329963,2089050,1028487,2.17,10.5,275276,8.12,16.49,82442,54451,4297,0.637,103987
2/7/2021,Illinois,1401585,2089050,1086599,2.28,11.06,288458,8.57,16.49,71622,55733,4398,0.671,89648
2/8/2021,Illinois,1457693,2089050,1131846,2.36,11.5,299201,8.93,16.49,56108,57554,4542,0.698,90315
2/9/2021,Illinois,1477780,2207200,1148175,2.39,11.66,302923,9.06,17.42,20087,57815,4562,0.67,95632
2/10/2021,Illinois,1539781,2327100,1198096,2.48,12.15,314687,9.45,18.36,62001,61601,4861,0.662,95177
2/11/2021,Illinois,1604830,2455500,1243706,2.61,12.66,330108,9.81,19.38,65049,60923,4808,0.654,105760
2/12/2021,Illinois,1674988,2481075,1294565,2.75,13.22,348826,10.22,19.58,70158,61067,4819,0.675,99638
2/13/2021,Illinois,1772568,2561800,1364527,2.97,13.99,375992,10.77,20.22,97580,63229,4990,0.692,87122
2/14/2021,Illinois,1854228,2566675,1421577,3.16,14.63,400340,11.22,20.25,81660,64663,5103,0.722,65021
2/15/2021,Illinois,4469795,5664615,2909272,12.745,35.27,1615361.5,22.96,44.7,50077,63802,5035,0.782,54186
2/16/2021,Illinois,1954382,2661550,1498639,3.34,15.42,422981,11.83,21,50077,68086,5373,0.734,62719
2/17/2021,Illinois,1996099,2694700,1531557,3.4,15.75,431310,12.09,21.27,41717,65188,5144,0.741,70118
2/18/2021,Illinois,2037388,2706400,1557154,3.52,16.08,446598,12.29,21.36,41289,61794,4876,0.753,69924
2/19/2021,Illinois,2174539,2883925,1647720,3.89,17.16,492551,13,22.76,137151,71364,5632,0.754,79297
2/20/2021,Illinois,2261482,2924725,1697843,4.16,17.85,527382,13.4,23.08,86943,69845,5512,0.773,71525
2/21/2021,Illinois,2339546,2924925,1742360,4.42,18.46,560403,13.75,23.08,78064,69331,5471,0.8,57080
2/22/2021,Illinois,2354395,2924925,1766364,4.56,18.58,578393,13.94,23.08,14849,64299,5074,0.805,56220
2/23/2021,Illinois,2416034,3005345,1802372,4.76,19.07,602595,14.22,23.72,61639,65950,5204,0.804,72263
2/24/2021,Illinois,2461385,3327065,1826927,4.92,19.42,623117,14.42,26.26,45351,66469,5245,0.74,74732
2/25/2021,Illinois,2519447,3499685,1855962,5.15,19.88,652316,14.65,27.62,58062,68866,5435,0.72,77501
2/26/2021,Illinois,2639826,3557335,1923246,5.55,20.83,703902,15.18,28.07,120379,66470,5245,0.742,77346
2/27/2021,Illinois,2735250,3575135,1964466,5.98,21.59,757754,15.5,28.21,95424,67681,5341,0.765,64575
2/28/2021,Illinois,2824209,3575135,2004662,6.36,22.29,806078,15.82,28.21,88959,69238,5464,0.79,51357
3/1/2021,Illinois,2906555,3575135,2045444,6.69,22.94,847352,16.14,28.21,82346,78880,6225,0.813,58229
3/2/2021,Illinois,2958947,3722705,2076864,6.85,23.35,867812,16.39,29.38,52392,77559,6121,0.795,57060
3/3/2021,Illinois,3022385,3925545,2110030,7.09,23.85,897827,16.65,30.98,63438,80143,6325,0.77,67193
3/4/2021,Illinois,3107699,4093855,2153991,7.41,24.52,939034,17,32.31,85314,84036,6632,0.759,68051
3/5/2021,Illinois,3204414,4334465,2204820,7.77,25.29,984808,17.4,34.21,96715,80655,6365,0.739,66451
3/6/2021,Illinois,3341021,4378835,2275017,8.29,26.37,1050701,17.95,34.56,136607,86539,6829,0.763,58203
3/7/2021,Illinois,3473676,4378835,2346663,8.75,27.41,1109123,18.52,34.56,132655,92781,7322,0.793,41007
3/8/2021,Illinois,3571808,4378835,2398497,9.11,28.19,1153941,18.93,34.56,98132,95036,7500,0.816,45036
3/9/2021,Illinois,3601065,4715845,2414809,9.21,28.42,1166993,19.06,37.22,29257,91731,7239,0.764,57642
3/10/2021,Illinois,3672596,4863485,2452227,9.48,28.98,1200821,19.35,38.38,71531,92887,7330,0.755,57920
3/11/2021,Illinois,3777731,5031335,2512334,9.83,29.81,1245707,19.83,39.7,105135,95719,7554,0.751,62474
3/12/2021,Illinois,3925271,5044435,2603710,10.5,30.98,1329918,20.55,39.81,147540,102980,8127,0.778,61523
3/13/2021,Illinois,4197357,5167015,2754782,11.54,33.12,1461858,21.74,40.78,272086,122334,9654,0.812,52932
3/14/2021,Illinois,4197470,5167015,2755219,11.54,33.12,1462024,21.74,40.78,113,103399,8160,0.812,38221
3/15/2021,Illinois,4297923,5167015,2812496,11.9,33.92,1508375,22.19,40.78,100453,103731,8186,0.832,56666
3/16/2021,Illinois,4379055,5531315,2856270,12.24,34.56,1551538,22.54,43.65,81132,111141,8771,0.792,53957
3/17/2021,Illinois,4469795,5664615,2909272,12.57,35.27,1592976,22.96,44.7,90740,113886,8987,0.789,59136
3/18/2021,Illinois,4584510,5739945,2983268,12.92,36.18,1637747,23.54,45.3,114715,115254,9095,0.799,60538
3/19/2021,Illinois,4683361,5818585,3044878,13.24,36.96,1678369,24.03,45.92,98851,108299,8546,0.805,61629
3/20/2021,Illinois,4826260,5909425,3147727,13.6,38.09,1723407,24.84,46.63,142899,89843,7090,0.817,55374
3/21/2021,Illinois,4960792,5909425,3241285,13.95,39.15,1768206,25.58,46.63,134532,109046,8605,0.839,33768
3/22/2021,Illinois,5051382,5909425,3307733,14.19,39.86,1797959,26.1,46.63,90590,107637,8494,0.855,51593
3/23/2021,Illinois,5096694,6373315,3340960,14.32,40.22,1814376,26.37,50.3,45312,102520,8090,0.8,53603
3/24/2021,Illinois,5177472,6452075,3399403,14.52,40.86,1840517,26.83,50.92,80778,101097,7978,0.802,86960
3/25/2021,Illinois,5287852,6697605,3481498,14.77,41.73,1872114,27.47,52.85,110380,100477,7929,0.79,67465
3/26/2021,Illinois,5412272,6752455,3576707,15.04,42.71,1905926,28.23,53.29,124420,104130,8217,0.802,77321
3/27/2021,Illinois,5542211,6883535,3671282,15.35,43.74,1945476,28.97,54.32,129939,102279,8071,0.805,62700
3/28/2021,Illinois,5682011,6883535,3763201,15.76,44.84,1996988,29.7,54.32,139800,103031,8131,0.825,43097
3/29/2021,Illinois,5793846,6883535,3832086,16.12,45.72,2042458,30.24,54.32,111835,106066,8370,0.842,69429
3/30/2021,Illinois,5843688,7256585,3865951,16.26,46.12,2060967,30.51,57.27,49842,106713,8421,0.805,61249
3/31/2021,Illinois,5932882,7493325,3930026,16.49,46.82,2089452,31.01,59.13,89194,107916,8516,0.792,67039
4/1/2021,Illinois,6073419,7770165,4024047,16.89,47.93,2140575,31.76,61.32,140537,112224,8856,0.782,69831
4/2/2021,Illinois,6192219,7975455,4108995,17.24,48.87,2184228,32.43,62.94,118800,111421,8793,0.776,79045
4/3/2021,Illinois,6340870,8021745,4207838,17.7,50.04,2243105,33.21,63.3,148651,114094,9004,0.79,63067
4/4/2021,Illinois,6488477,8021745,4303924,18.16,51.2,2301352,33.96,63.3,147607,115209,9092,0.809,34972
4/5/2021,Illinois,6592898,8021745,4370004,18.52,52.03,2346220,34.49,63.3,104421,114150,9008,0.822,77679
4/6/2021,Illinois,6627939,8320075,4385209,18.61,52.3,2357970,34.61,65.66,35041,112036,8841,0.797,60544
4/7/2021,Illinois,6725817,8687945,4441728,18.94,53.08,2400675,35.05,68.56,97878,113276,8939,0.774,75038
4/8/2021,Illinois,6860904,8911325,4529802,19.48,54.14,2469095,35.75,70.32,135087,112498,8878,0.77,79878
4/9/2021,Illinois,7017850,9110565,4632713,20.08,55.38,2544950,36.56,71.9,156946,117947,9308,0.77,82698
